State,Abbrev,TaxType,TopRate,TopBracketStart,TaxType_str,TaxType_str_short,fill_color,label_color
Alabama,AL,1,6.50%,$0,,,,black
Alaska,AK,3,9.40%,$222k,,,,black
Arizona,AZ,1,4.90%,$0,,,,black
Arkansas,AR,2,4.30%,$11k,,,,black
California,CA,1,8.84%,$0,,,,black
Colorado,CO,1,4.25%,$0,,,,black
Connecticut,CT,3,8.25%,$100m,,,,black
Delaware,DE,1,8.70%,$0,,,,black
District of Columbia,DC,1,8.25%,$0,,,,black
Florida,FL,2,5.50%,$50k,,,,black
Georgia,GA,1,5.39%,$0,,,,black
Hawaii,HI,3,6.40%,$100k,,,,black
Idaho,ID,1,5.695%,$0,,,,black
Illinois,IL,1,9.50%,$0,,,,black
Indiana,IN,1,4.90%,$0,,,,black
Iowa,IA,3,7.10%,$100k,,,,black
Kansas,KS,2,6.50%,$50k,,,,black
Kentucky,KY,1,5.00%,$0,,,,black
Louisiana,LA,1,5.50%,$0,,,,black
Maine,ME,3,8.93%,$3.5m,,,,black
Maryland,MD,1,8.25%,$0,,,,black
Massachusetts,MA,1,8.00%,$0,,,,black
Michigan,MI,1,6.00%,$0,,,,black
Minnesota,MN,1,9.80%,$0,,,,black
Mississippi,MS,2,5.00%,$10k,,,,black
Missouri,MO,1,4.00%,$0,,,,black
Montana,MT,1,6.75%,$0,,,,black
Nebraska,NE,1,5.20%,$0,,,,black
Nevada,NV,0,0.00%,$0,,,,black
New Hampshire,NH,1,7.50%,$0,,,,black
New Jersey,NJ,3,11.50%,$10m,,,,black
New Mexico,NM,1,5.90%,$0k,,,,black
New York,NY,3,7.25%,$5m,,,,black
North Carolina,NC,1,2.25%,$0,,,,black
North Dakota,ND,2,4.31%,$50k,,,,black
Ohio,OH,0,0.00%,$0,,,,black
Oklahoma,OK,1,4.00%,$0,,,,black
Oregon,OR,3,7.60%,$1m,,,,black
Pennsylvania,PA,1,7.99%,$0,,,,black
Rhode Island,RI,1,7.00%,$0,,,,black
South Carolina,SC,1,5.00%,$0,,,,black
South Dakota,SD,0,0.00%,$0,,,,black
Tennessee,TN,1,6.50%,$0,,,,black
Texas,TX,0,0.00%,$0,,,,black
Utah,UT,1,4.55%,$0,,,,black
Vermont,VT,2,8.50%,$25k,,,,black
Virginia,VA,1,6.00%,$0,,,,black
Washington,WA,0,0.00%,$0,,,,black
West Virginia,WV,1,6.50%,$0,,,,black
Wisconsin,WI,1,7.90%,$0,,,,black
Wyoming,WY,0,0.00%,$0,,,,black
